spec_z,photo_z
0.04379,0.79
0.044464,0.6
0.13029,0.18
0.132722,0.56
0.016712,0.38
0.0289030001,0.13
0.1049,0.39
0.104339,0.42
0.053137,0.5700000000000001
0.1683,0.19
0.134993,0.56
0.1282,0.27
0.128822,0.18
0.103838,0.5700000000000001
0.134656996,0.6900000000000001
0.0732,0.09
0.059174,0.08
0.041519,0.26
0.0291,0.6900000000000001
0.1677,0.18
0.189285994,0.12
0.1676,0.0999999999999999
0.133759,0.18
0.1282,0.17
0.0288,0.3
0.1408,0.54
0.1602,0.6
0.127055,0.21
0.115513,0.08
0.1473,0.16
0.1474,0.17
0.13526,0.16
0.0611,0.11
0.1281,0.16
0.1638,0.17
0.13424,0.16
0.136961,0.19
0.1351,0.14
0.0652,0.33
0.208,0.24
0.1414,0.37
0.0614,0.09
0.128422,0.16
0.128,0.17
0.0283,0.17
0.116848,0.14
0.183002993,0.18
0.132394999,0.17
0.0728,0.0999999999999999
0.1637,0.26
0.138331994,0.09
0.150383994,0.14
0.135443002,0.3
0.161275998,0.2
0.1,0.6
0.099936,0.28
0.0884940028,0.51
0.127841994,0.13
0.149055004,0.0999999999999999
0.036058,0.55
0.138631001,0.63
0.0431,0.06
0.053704,0.0999999999999999
0.120617,0.12
0.117648,0.14
0.121451,0.12
0.134626,0.17
0.07235,0.04
0.134793,0.14
0.0883,0.0699999999999999
0.1433,0.11
0.0591659993,0.01
0.1275,0.12
0.0883,0.23
0.0875,0.01
0.099302,0.01
0.099169,0.04
0.0882,0.15
0.1504,0.16
0.151455,0.18
0.127722,0.5700000000000001
0.149711996,0.26
0.2069,0.29
0.2082,0.23
0.1509,0.21
0.213069007,0.48
0.1555,0.26
0.147542998,0.05
0.194731995,0.38
0.115028001,0.51
0.118649,0.11
0.053857,0.11
0.116294,0.14
0.114913,0.53
0.269459993,0.32
0.156508,0.01
0.154,0.15
0.127388,0.18
0.0533349998,0.03
0.1264,0.5800000000000001
0.184029996,0.4
0.154868007,0.5700000000000001
0.0537,0.5
0.136061,0.19
0.0737790018,0.05
0.0530360006,0.17
0.0849,0.33
0.063597,0.52
0.017088,0.0699999999999999
0.11041,0.13
0.107674,0.0699999999999999
0.1994,0.3
0.207043,0.25
0.209,0.17
0.1154,0.14
0.0264449995,0.03
0.1265,0.13
0.1157,0.0999999999999999
0.146034,0.17
0.145664006,0.48
0.037489,0.14
0.109509,0.12
0.108008,0.18
0.113145,0.0999999999999999
0.145501,0.15
0.038,0.08
